Distance from fort,count_schools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,count_medical_centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,min_dist_school,min_dist_medical_center,Price per Perch
11.35,4,0,3.232578915,6.632045539,4.07247222,0.046516086,15,2,0.275528356,11,1.185148304,2,2.127812617,1.818298797,"3,800,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"6,500,000.00"
12.89,7,0,2.847591288,12.64244388,0.528389071,0.028453853,12,2,0.113299872,20,1.052875673,5,1.58575455,3.057863335,"2,600,000.00"
12.6,4,1,0.986116289,9.697738198,1.97051461,1.328255911,20,1,0.315817967,19,0.52322427,3,1.950417217,2.578573155,"3,700,000.00"
4.22,22,2,1.467277947,5.676326993,0.379336786,0.083896065,46,9,0.234180842,17,0.836102939,4,0.648388584,1.199440728,"85,000,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"6,500,000.00"
17.26,6,0,3.092683935,3.716698378,0.089601941,0.104367405,10,1,0.685837638,5,0.917733437,2,2.121535646,2.422564633,"1,650,000.00"
16.39,1,0,3.876604793,1.871289347,3.876447241,0.024556017,1,0,1.187704419,5,0.074058786,1,3.340681566,4.15652795,"109,090.91"
11.35,4,0,3.232578915,6.632045539,4.07247222,0.046516086,15,2,0.275528356,11,1.185148304,2,2.127812617,1.818298797,"6,000,000.00"
19.72,1,0,3.346328059,2.59671565,7.635108885,2.258348808,0,0,2.126974979,0,2.345781881,0,5.646727026,6.147557185,"400,000.00"
19.88,4,1,1.514848549,0.984196476,0.596317226,0.864897004,7,1,0.670444824,6,0.139079465,5,3.013258588,1.719960174,"1,800,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"5,185,185.19"
17.66,2,0,2.766675534,1.341754436,9.982145833,0.351838973,8,1,0.22296895,5,0.044349224,1,6.270127131,4.493856946,"1,200,000.00"
7.57,26,6,0.194328801,7.759564862,1.511477789,0.344641591,43,10,0.118453506,18,0.085681338,5,0.241442313,1.261456637,"11,000,000.00"
34.52,1,0,10.86360423,17.54383842,0.032153225,0.022707491,1,0,6.08034501,0,6.910724352,0,14.5292775,10.27685828,"220,500.00"
14.19,1,0,4.333994379,4.620078445,3.239812649,0.047187666,14,1,0.207307327,9,1.832361316,1,2.853306008,2.55936892,"2,200,000.00"
19.59,1,0,4.65088748,1.626447486,3.488327488,0.0702284,6,0,0.225418134,4,0.132466919,1,3.752484608,4.569323338,"675,000.00"
8.66,9,1,0.549898445,5.213415717,1.3669029,0.064668268,9,7,0.050657848,13,2.104233363,0,1.284658669,0.825239173,"7,500,000.00"
11.35,4,0,3.232578915,6.632045539,4.07247222,0.046516086,15,2,0.275528356,11,1.185148304,2,2.127812617,1.818298797,"2,500,000.00"
9.16,19,1,0.668115654,7.480199518,0.647482412,0.047406525,38,5,0.229319769,17,1.221395666,4,1.224741756,1.856131844,"3,200,000.00"
10.96,9,1,1.555973958,11.53988387,0.42972373,0.126142707,18,1,0.460378059,12,0.545357036,3,0.891115717,1.452211198,"2,700,000.00"
18.85,3,0,2.75753304,6.672114016,5.148238391,0.144675834,8,2,0.49262073,12,0.048597652,2,4.401620213,1.4674653,"894,461.54"
